Unit: ~~~~
R1   L1   R2   L2   R3   L3   R4   L4
604.93    51.2351    433.248    21.648    429.952    35.9362    613.033    69.3081
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    358.325
26.1141    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    28.663    167.837
563.181    24.5759    269.089    23.2575    389.958    120.001    498.146    154.911
477.836    62.6063    282.136    60.8264    397.13    72.9173    304.552    196.177
250.168    143.715    163.348    20.8954    472.144    102.592    261.856    167.837
358.722    92.2922    346.912    27.8225    646.222    22.0051    452.231    43.9674
368.854    198.874    251.465    40.9626    341.418    57.8491    306.383    91.4518
514.504    23.8069    255.066    58.706    572.504    41.4954    348.666    199.258
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    434.256
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    498.009
250.168    143.715    344.287    20.8954    472.144    337.359    261.856    167.837
423.345    44.3959    298.463    43.6378    726.257    23.6805    504.738    30.4099
250.168    143.715    344.287    20.8954    472.144    102.592    169.485    167.837
250.168    143.715    191.947    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    94.105    167.837
338.397    41.1274    294.069    55.3661    382.176    97.0165    357.959    197.885
302.019    186.173    485.435    21.8842    286.882    104.592    256.638    152.126
300.996    35.5132    353.824    60.2112    429.739    46.0329    355.258    29.5749
259.11    20.0494    256.394    55.7561    311.846    169.353    304.872    188.953
741.852    43.8411    307.955    20.9723    529.534    29.3057    562.937    63.6555
486.183    107.959    319.491    24.2683    507.53    47.8347    294.908    62.5623
428.64    54.9156    374.516    23.329    432.562    94.2259    449.759    138.162
250.168    143.715    344.287    20.8954    472.144    102.592    94.2039    167.837
250.168    343.005    344.287    20.8954    472.144    102.592    261.856    167.837
386.28    21.9062    253.54    32.9533    381.321    98.0547    583.781    116.661
358.31    91.4408    364.185    20.1318    367.817    87.5515    443.152    178.373
250.168    143.715    344.287    20.8954    472.144    102.592    56.9372    167.837
250.168    453.314    344.287    20.8954    472.144    102.592    261.856    167.837
326.601    179.647    334.353    30.9592    547.082    20.1373    422.994    87.8207
250.168    143.715    344.287    20.8954    472.144    297.029    261.856    167.837
280.946    40.3473    328.066    28.4103    583.049    103.125    630.49    41.7206
729.965    25.7515    271.47    69.5389    312.273    31.6898    396.229    157.811
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    393.666
551.508    48.9828    278.245    62.2932    468.772    49.8563    393.544    84.4148
395.894    45.7747    397.801    25.2022    355.67    106.536    343.631    188.513
270.478    80.1465    270.859    22.6148    471.839    186.745    395.238    140.381
278.825    46.8404    257.126    94.0446    618.053    21.4393    272.538    123.286
250.168    522.958    344.287    20.8954    472.144    102.592    261.856    167.837
487.083    158.251    391.636    29.5364    280.503    23.1971    285.859    42.0228
614.91    63.9357    345.019    26.2734    371.357    189.684    254.471    115.71
313.478    195.534    304.857    38.6444    376.072    35.7768    405.538    146.292
250.168    251.16    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    326.663    261.856    167.837
396.092    116.556    346.683    24.6858    335.91    194.084    381.184    95.7256
454.123    85.5135    354.999    24.8012    454.108    50.0266    355.075    191.277
250.168    143.715    344.287    20.8954    81.9373    102.592    261.856    167.837
342.883    175.725    326.8    25.4329    279.878    35.5571    412.587    70.5387
681.501    60.0793    278.428    58.6126    354.953    55.2562    530.45    35.656
250.168    143.715    344.287    20.8954    472.144    102.592    180.433    167.837
419.515    88.0514    301.012    26.7348    289.048    59.129    283.494    195.094
501.808    76.0155    296.19    24.142    470.801    154.85    356.754    38.7213
362.186    68.6709    266.709    38.139    350.513    149.511    493.751    139.167
310.701    28.619    273.194    83.6457    491.874    30.3385    702.94    45.6374
287.217    136.129    256.806    47.159    506.386    36.914    447.897    160.448
147.654    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    469.672    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    430.242
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    413.121
